# This text file contains some words which have yet to be added, as a note so
# I don't forget. This is a mostly random list of words that I probably had
# trouble finding and would like to not have to look for again.



# http://www.unm.edu/~blanter/Grammar_Term_Origins.pdf

ablātīvus (cāsus)						- ablative (case)
accentum								- accent
accūsātīvus (cāsus)						- accusative (case)
acūtus									- acute (accent)
actīvus (modus)							- active (voice)
adjectīvus (4th c.)						- adjective
adverbium								- adverb
articulus								- article
cāsus									- case
circumflexus							- circumflex (accent)
clausula								- clause
comparātīvum							- comparative
compositum (verbum)						- compound (word)
conjugātio								- conjugation
conjunctio								- conjunction
cōnsona (littera)						- consonant
cōnsonāns								- consonant
datīvus (casus)							- dative (case)
declinātio								- conjugation / declension
deminutivum (3rd c.)					- deminutive
deminutivus (nomen)						- deminutive noun
diphthongus, -i, f.						- diphthong
duālis (numerus)						- dual (number)
fēminīnum (genus)						- feminine (gender)
flexūra									- inflection / declension
flexus									- inflection
finītus									- finite
futūrum (tempus)						- future (tense)
genus									- gender
genitīvus (cāsus)						- genitive (case)
gerundium								- gerund
gerundīvus (Late Latin)					- gerundive
masculīnus (genus)						- masculine (gender)
modus									- mood / voice
neutrum (genus)							- neuter gender
nominatīvus (cāsus)						- nominative (case)
nomen									- noun
numerus									- number
oblīquus (cāsus)						- oblique (case)
optatīvus (4th c.)						- optative
paragraphus (Neo-Latin)					- paragraph
pars ōrātiōnis							- part of speech
participium								- participle
particula								- particle
passivus (modus)						- passive (voice)
patricus (cāsus)						- genitive (case)
perfectum (tempus)						- perfect (tense)
persōna									- person
(tempus praeteritum) plusquam perfectum	- pluperfect tense
plūrālis (numerus)						- plural (number)
possessīvus								- possessive
praepositiō								- preposition
praesens (tempus)						- present (tense)
praeteritum (tempus)					- preterite / past (tense)
pronomen								- pronoun
radix									- root
reflexivus (Neo-Latin)					- reflexive
sententia								- sentence
singulāris (numerus)					- singular (number)
subjunctīvus (modus)					- sunjunctive (mood)
substantīvus (5th c.)					- substantive
superlātīvum							- superlative
syllaba									- syllable
tempus									- tense / time
verbum									- word / verb
virīlis (genus)							- masculine (gender)
vocātīvus (cāsus)						- vocative (case)
vocālis (littera)						- vowel
